gene_id	chromosome	start	end	gene_name
ENSG00000224956	1	661611	663527	RP11-206L10.1
ENSG00000235373	1	677193	685396	RP11-206L10.3
ENSG00000223181	1	693613	693716	RNU6-1199P
ENSG00000240618	1	694412	700305	RP11-206L10.5
ENSG00000229905	1	696291	697369	RP11-206L10.4
ENSG00000228327	1	700237	714006	RP11-206L10.2
ENSG00000237491	1	714150	745440	RP11-206L10.9
ENSG00000230092	1	736259	745541	RP11-206L10.8
ENSG00000269831	1	738532	739137	AL669831.1
ENSG00000240453	1	745489	753092	RP11-206L10.10
ENSG00000177757	1	752751	755214	FAM87B
ENSG00000225880	1	761586	762902	LINC00115
ENSG00000228794	1	762988	794826	LINC01128
ENSG00000230368	1	803451	812283	FAM41C
ENSG00000234711	1	808672	809729	TUBB8P11
ENSG00000269308	1	818043	819983	AL645608.2
ENSG00000272438	1	840214	851356	RP11-54O7.16
ENSG00000230699	1	846815	850328	RP11-54O7.1
ENSG00000241180	1	849551	850351	RP11-54O7.2
ENSG00000223764	1	852245	856396	RP11-54O7.3
ENSG00000187634	1	860260	879955	SAMD11
ENSG00000268179	1	861264	866445	AL645608.1
ENSG00000188976	1	879584	894689	NOC2L
ENSG00000187961	1	895967	901095	KLHL17
ENSG00000187583	1	901877	911245	PLEKHN1
ENSG00000187642	1	910579	917497	C1orf170
ENSG00000272512	1	931346	933431	RP11-54O7.17
ENSG00000188290	1	934342	935552	HES4
ENSG00000231702	1	943456	943609	RP11-54O7.10
ENSG00000224969	1	947377	948573	RP11-54O7.11
ENSG00000187608	1	948803	949920	ISG15
ENSG00000188157	1	955503	991496	AGRN
ENSG00000242590	1	990413	991496	RP11-54O7.14
ENSG00000217801	1	995114	1004735	RP11-465B22.3
ENSG00000273443	1	997588	998668	RP11-54O7.18
ENSG00000237330	1	1006346	1009687	RNF223
ENSG00000131591	1	1017198	1051741	C1orf159
ENSG00000223823	1	1072397	1079436	RP11-465B22.5
ENSG00000207730	1	1102484	1102578	MIR200B
ENSG00000207607	1	1103243	1103332	MIR200A
ENSG00000198976	1	1104385	1104467	MIR429
ENSG00000272141	1	1104737	1105723	RP11-465B22.8
ENSG00000205231	1	1108436	1114935	TTLL10-AS1
ENSG00000162571	1	1109264	1133315	TTLL10
ENSG00000186891	1	1138888	1142071	TNFRSF18
ENSG00000186827	1	1146706	1149518	TNFRSF4
ENSG00000078808	1	1152288	1167411	SDF4
ENSG00000176022	1	1167629	1170421	B3GALT6
ENSG00000184163	1	1177826	1182102	FAM132A
ENSG00000260179	1	1185157	1186714	RP5-902P8.12
ENSG00000160087	1	1189289	1209265	UBE2J2
ENSG00000230415	1	1210603	1215800	RP5-902P8.10
ENSG00000162572	1	1215816	1227409	SCNN1D
ENSG00000131584	1	1227756	1244989	ACAP3
ENSG00000169972	1	1243947	1247057	PUSL1
ENSG00000127054	1	1246965	1260071	CPSF3L
ENSG00000240731	1	1252961	1254069	RP5-890O3.9
ENSG00000224051	1	1260136	1264277	GLTPD1
ENSG00000169962	1	1266694	1270686	TAS1R3
ENSG00000107404	1	1270656	1284730	DVL1
ENSG00000162576	1	1288069	1297157	MXRA8
ENSG00000175756	1	1309110	1310875	AURKAIP1
ENSG00000223663	1	1314046	1314412	RP5-890O3.3
ENSG00000221978	1	1321091	1334708	CCNL2
ENSG00000224870	1	1334902	1337426	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	MRPL20
ENSG00000264293	1	1340841	1341132	RN7SL657P
ENSG00000272455	1	1344476	1345998	RP4-758J18.13
ENSG00000235098	1	1353800	1357149	ANKRD65
ENSG00000225905	1	1355625	1358071	RP4-758J18.7
ENSG00000205116	1	1361508	1363167	TMEM88B
ENSG00000225285	1	1365919	1369953	RP4-758J18.10
ENSG00000179403	1	1370241	1378262	VWA1
ENSG00000215915	1	1385069	1405538	ATAD3C
ENSG00000160072	1	1407143	1433228	ATAD3B
ENSG00000197785	1	1447531	1470067	ATAD3A
ENSG00000205090	1	1470554	1475833	TMEM240
ENSG00000160075	1	1477053	1510249	SSU72
ENSG00000215791	1	1497726	1499904	AL645728.2
ENSG00000215014	1	1510355	1511373	AL645728.1
ENSG00000236684	1	1515136	1515379	AL645728.3
ENSG00000228594	1	1533392	1535476	C1orf233
ENSG00000272106	1	1549138	1551175	RP11-345P4.9
ENSG00000197530	1	1550795	1565990	MIB2
ENSG00000189409	1	1567474	1570639	MMP23B
ENSG00000248333	1	1570603	1590473	CDK11B
ENSG00000272004	1	1590786	1594063	RP11-345P4.10
ENSG00000189339	1	1592939	1624167	SLC35E2B
ENSG00000269737	1	1603429	1604850	RP11-345P4.7
ENSG00000269227	1	1604714	1605836	RP11-345P4.6
ENSG00000215914	1	1631369	1633249	MMP23A
ENSG00000008128	1	1634169	1655766	CDK11A
ENSG00000268575	1	1634175	1669127	RP1-283E3.8
ENSG00000227775	1	1655951	1668690	RP1-283E3.4
ENSG00000215790	1	1656277	1677431	SLC35E2
ENSG00000008130	1	1682671	1711896	NADK
ENSG00000078369	1	1716729	1822495	GNB1
ENSG00000231050	1	1822910	1824097	RP1-140A9.1
ENSG00000169885	1	1846266	1848735	CALML6
ENSG00000178821	1	1849029	1850712	TMEM52
ENSG00000142609	1	1853396	1935276	C1orf222
ENSG00000233542	1	1944652	1946969	RP11-547D24.1
ENSG00000187730	1	1950780	1962192	GABRD
ENSG00000226969	1	1980642	1981509	RP11-547D24.3
ENSG00000067606	1	1981909	2116834	PRKCZ
ENSG00000271806	1	2072523	2076718	RP5-892K4.1
ENSG00000182873	1	2113233	2115828	RP11-181G12.2
ENSG00000162585	1	2115903	2144159	C1orf86
ENSG00000269554	1	2121237	2123179	AL590822.2
ENSG00000203301	1	2143360	2145620	AL590822.1
ENSG00000243558	1	2143610	2144013	RP11-181G12.5
ENSG00000234396	1	2143962	2152177	RP11-181G12.4
ENSG00000157933	1	2160134	2241558	SKI
ENSG00000116151	1	2252692	2323146	MORN1
ENSG00000272161	1	2257640	2258132	RP4-713A8.1
ENSG00000269753	1	2258581	2259042	AL589739.1
ENSG00000269896	1	2281853	2284259	RP4-740C4.6
ENSG00000238240	1	2283083	2283296	RP4-740C4.5
ENSG00000272420	1	2294500	2295067	RP4-740C4.7
ENSG00000271921	1	2306292	2306792	RP4-740C4.9
ENSG00000271847	1	2309056	2309799	RP4-740C4.8
ENSG00000178642	1	2316811	2319922	AL513477.1
ENSG00000157916	1	2323267	2336883	RER1
ENSG00000157911	1	2336236	2345236	PEX10
ENSG00000149527	1	2357419	2436969	PLCH2
ENSG00000224387	1	2423739	2424697	RP3-395M20.2
ENSG00000229393	1	2424876	2425918	RP3-395M20.3
ENSG00000157881	1	2439972	2458039	PANK4
ENSG00000197921	1	2460184	2461684	HES5
ENSG00000272449	1	2477904	2478899	RP3-395M20.12
ENSG00000238164	1	2481359	2488470	RP3-395M20.8
ENSG00000157873	1	2487078	2496821	TNFRSF14
ENSG00000225931	1	2497849	2501327	RP3-395M20.7
ENSG00000228037	1	2512999	2515972	RP3-395M20.9
ENSG00000157870	1	2517930	2522908	FAM213B
ENSG00000142606	1	2522078	2564481	MMEL1
ENSG00000237058	1	2564007	2568059	RP13-436F16.1
ENSG00000215912	1	2567415	2718286	TTC34
ENSG00000233234	1	2728415	2729257	RP11-740P5.2
ENSG00000231630	1	2730997	2731563	RP11-740P5.3
ENSG00000169717	1	2938046	2939465	ACTRT2
ENSG00000177133	1	2976179	2985001	LINC00982
ENSG00000256761	1	2978523	2978959	AL008733.1
ENSG00000142611	1	2985732	3355185	PRDM16
ENSG00000226286	1	3049491	3050273	RP1-163G9.2
ENSG00000272235	1	3223200	3226660	RP11-22L13.1
ENSG00000130762	1	3370990	3397677	ARHGEF16
ENSG00000272088	1	3403810	3404191	RP11-168F9.2
ENSG00000162591	1	3406484	3528059	MEGF6
ENSG00000207776	1	3477259	3477354	MIR551A
ENSG00000238260	1	3539754	3541307	RP11-46F15.2
ENSG00000158109	1	3541566	3546691	TPRG1L
ENSG00000116213	1	3547331	3569325	WRAP73
ENSG00000078900	1	3569084	3652765	TP73
ENSG00000227589	1	3575502	3585336	RP5-1092A11.5
ENSG00000235131	1	3628764	3630862	RP5-1092A11.2
ENSG00000227372	1	3652548	3663900	TP73-AS1
ENSG00000162592	1	3668962	3688209	CCDC27
ENSG00000235169	1	3689352	3692546	SMIM1
ENSG00000130764	1	3696784	3713068	LRRC47
ENSG00000266075	1	3699379	3699673	RN7SL574P
ENSG00000272153	1	3701572	3702102	RP1-286D6.5
ENSG00000116198	1	3728645	3773778	CEP104
ENSG00000169598	1	3773845	3801993	DFFB
ENSG00000264428	1	3800628	3800697	AL691523.1
ENSG00000198912	1	3805689	3816857	C1orf174
ENSG00000236423	1	3816936	3833789	LINC01134
ENSG00000233304	1	4000673	4015322	RP13-614K11.1
ENSG00000226374	1	4007209	4009040	RP13-614K11.2
ENSG00000229280	1	4235588	4235959	RP11-374C13.1
ENSG00000235054	1	4472111	4484747	RP5-1166F10.1
ENSG00000227169	1	4611795	4612205	RP1-37J18.1
ENSG00000232596	1	4631608	4643481	RP1-37J18.2
ENSG00000196581	1	4714792	4852594	AJAP1
ENSG00000231510	1	5146519	5150959	RP11-542C10.1
ENSG00000260972	1	5553038	5554734	RP1-58B11.1
ENSG00000264341	1	5624131	5624203	MIR4417
ENSG00000236948	1	5647428	5728355	RP11-154H17.1
ENSG00000216045	1	5875931	5876019	AL356693.1
ENSG00000264101	1	5922732	5922801	MIR4689
ENSG00000131697	1	5922871	6052533	NPHP4
ENSG00000266687	1	5953899	5953984	AL356261.1
ENSG00000069424	1	6051526	6161253	KCNAB2
ENSG00000268332	1	6100630	6101399	AL035406.1
ENSG00000116254	1	6161853	6240183	CHD5
ENSG00000116251	1	6241329	6269449	RPL22
ENSG00000226944	1	6264900	6265840	RP1-120G22.11
ENSG00000158286	1	6265535	6281359	RNF207
ENSG00000116237	1	6281253	6296032	ICMT
ENSG00000225077	1	6296300	6299504	LINC00337
ENSG00000173673	1	6304252	6305638	HES3
ENSG00000158292	1	6307406	6321035	GPR153
ENSG00000097021	1	6324329	6454451	ACOT7
ENSG00000271746	1	6453615	6454451	RP1-202O8.3
ENSG00000069812	1	6472478	6484730	HES2
ENSG00000187017	1	6484848	6521430	ESPN
ENSG00000265392	1	6489894	6489956	MIR4252
ENSG00000231868	1	6503094	6507066	RP1-202O8.2
ENSG00000215788	1	6521211	6526255	TNFRSF25
ENSG00000171680	1	6526152	6580121	PLEKHG5
ENSG00000162408	1	6581407	6614595	NOL9
ENSG00000253022	1	6600914	6601024	RNU6-731P
ENSG00000229519	1	6607965	6608679	RP11-58A11.2
ENSG00000173662	1	6615241	6639817	TAS1R1
ENSG00000204859	1	6640061	6649340	ZBTB48
ENSG00000162413	1	6650784	6674667	KLHL21
ENSG00000116273	1	6673745	6684093	PHF13
ENSG00000041988	1	6684926	6695646	THAP3
ENSG00000007923	1	6694228	6761984	DNAJC11
ENSG00000228750	1	6784697	6790072	RP11-242F24.1
ENSG00000239166	1	6812779	6812881	snoU13
ENSG00000237436	1	6843952	6844903	RP11-312B8.1
ENSG00000171735	1	6845384	7829766	CAMTA1
ENSG00000227950	1	6894393	6894678	RP11-312B8.2
ENSG00000237365	1	7068436	7074339	RP11-334N17.1
ENSG00000207056	1	7279420	7279584	RNU1-8P
ENSG00000237402	1	7429003	7430331	CAMTA1-IT1
ENSG00000237728	1	7442548	7449814	RP3-453P22.2
ENSG00000225126	1	7501156	7501614	RP4-549F15.1
ENSG00000270171	1	7753184	7754904	RP11-338N10.1
ENSG00000270035	1	7758363	7758932	RP11-338N10.2
ENSG00000269978	1	7760764	7761030	RP11-338N10.3
ENSG00000049245	1	7831329	7841492	VAMP3
ENSG00000269925	1	7836443	7836835	RP3-467L1.6
ENSG00000049246	1	7844380	7905237	PER3
ENSG00000236266	1	7870302	7887402	RP3-467L1.4
ENSG00000049247	1	7903143	7913572	UTS2
ENSG00000049249	1	7979907	8000926	TNFRSF9
ENSG00000270330	1	8002432	8002786	RP5-892F13.2
ENSG00000116288	1	8014351	8045565	PARK7
ENSG00000200344	1	8042941	8043043	Y_RNA
ENSG00000116285	1	8064464	8086368	ERRFI1
ENSG00000238290	1	8086798	8182762	RP11-431K24.1
ENSG00000232848	1	8117305	8118523	CTA-215D11.4
ENSG00000229305	1	8249884	8252830	RP11-431K24.2
ENSG00000200975	1	8266494	8266657	RNU1-7P
ENSG00000227634	1	8268732	8275270	RP11-431K24.3
ENSG00000233645	1	8278250	8280589	RP11-431K24.4
ENSG00000265414	1	8335184	8335438	RN7SL729P
ENSG00000251977	1	8352217	8352323	RNU6-991P
ENSG00000162426	1	8377886	8404227	SLC45A1
ENSG00000252254	1	8388127	8388239	Y_RNA
ENSG00000142599	1	8412457	8877702	RERE
ENSG00000232912	1	8484705	8494898	RP5-1115A15.1
ENSG00000221083	1	8571854	8571978	SNORA77
ENSG00000270282	1	8572712	8573080	RP5-1115A15.2
ENSG00000234619	1	8810489	8811146	RPL7P11
ENSG00000224315	1	8846270	8846972	RPL7P7
ENSG00000222511	1	8856633	8856731	Y_RNA
ENSG00000226545	1	8858534	8859565	RP4-633I8.3
ENSG00000228423	1	8865919	8867110	RP4-633I8.4
ENSG00000229716	1	8891066	8891434	RP11-185B14.1
ENSG00000074800	1	8921061	8939308	ENO1
ENSG00000236269	1	8935847	8938066	ENO1-IT1
ENSG00000230679	1	8938894	8939953	ENO1-AS1
ENSG00000201725	1	8943486	8943592	RNU6-304P
ENSG00000238249	1	8953468	8954210	HMGN2P17
ENSG00000232208	1	8967452	8967803	RP3-477M7.5
ENSG00000232663	1	8969801	8969963	RP3-477M7.6
ENSG00000131686	1	9005926	9035151	CA6
ENSG00000265141	1	9039637	9039933	RN7SL451P
ENSG00000197241	1	9063359	9086404	SLC2A7
ENSG00000142583	1	9095166	9148537	SLC2A5
ENSG00000252404	1	9142755	9142938	SCARNA16
ENSG00000180758	1	9160364	9189229	GPR157
ENSG00000207865	1	9211727	9211836	MIR34A
ENSG00000228526	1	9242066	9262678	RP3-510D11.1
ENSG00000234546	1	9242263	9252148	RP3-510D11.2
ENSG00000049239	1	9294834	9331396	H6PD
ENSG00000252841	1	9338450	9338592	Z98044.1
ENSG00000171621	1	9352939	9429591	SPSB1
ENSG00000252956	1	9497728	9497837	RNA5SP40
ENSG00000235263	1	9561151	9563530	RP13-392I16.1
ENSG00000171612	1	9599541	9645237	SLC25A33
ENSG00000231181	1	9636485	9637043	RP13-15M17.1
ENSG00000188807	1	9648932	9674935	TMEM201
ENSG00000171608	1	9711790	9789172	PIK3CD
ENSG00000179840	1	9712668	9714644	C1orf200
ENSG00000233268	1	9720886	9722684	RP11-558F24.2
ENSG00000231789	1	9732484	9747613	RP11-558F24.4
ENSG00000171603	1	9789084	9884584	CLSTN1
ENSG00000271264	1	9840880	9841298	RP11-558F24.6
ENSG00000178585	1	9908334	9970394	CTNNBIP1
ENSG00000223989	1	9908376	9910212	RP11-84A14.5
ENSG00000162441	1	9982173	10003465	LZIC
ENSG00000228150	1	10002981	10010032	RP11-84A14.4
ENSG00000173614	1	10003486	10045559	NMNAT1
ENSG00000202415	1	10007376	10007694	RN7SKP269
ENSG00000265521	1	10027439	10027516	MIR5697
ENSG00000241326	1	10043199	10044626	RP11-807G9.2
ENSG00000162444	1	10057264	10076078	RBP7
ENSG00000225786	1	10078085	10078592	AL590639.1
ENSG00000130939	1	10092890	10241297	UBE4B
ENSG00000224340	1	10114503	10114839	RP11-496H15.2
ENSG00000233623	1	10118729	10119706	PGAM1P11
ENSG00000201746	1	10223326	10223432	RNU6-828P
ENSG00000054523	1	10270863	10441661	KIF1B
ENSG00000264881	1	10287776	10287861	MIR1273D
ENSG00000199562	1	10359024	10359130	RNU6-37P
ENSG00000264501	1	10366523	10366813	RN7SL731P
ENSG00000265945	1	10450059	10450353	RN7SL721P
ENSG00000142657	1	10458649	10480201	PGD
ENSG00000271989	1	10489938	10490734	RP4-736L20.3
ENSG00000175279	1	10490159	10512210	APITD1
ENSG00000251503	1	10490159	10512210	APITD1-CORT
ENSG00000241563	1	10509776	10511959	CORT
ENSG00000160049	1	10516579	10532583	DFFA
ENSG00000203469	1	10518612	10519395	RP5-1113E3.3
ENSG00000142655	1	10532345	10690815	PEX14
ENSG00000243267	1	10676893	10677170	RN7SL614P
ENSG00000130940	1	10696661	10856707	CASZ1
ENSG00000272078	1	10699298	10714390	RP4-734G22.3
ENSG00000225158	1	10955818	10956055	HSPE1P24
ENSG00000175262	1	11006528	11042094	C1orf127
ENSG00000215785	1	11051035	11051854	CFL1P6
ENSG00000264181	1	11058233	11058320	AL713997.1
ENSG00000207213	1	11059919	11060002	Y_RNA
ENSG00000120948	1	11072414	11085796	TARDBP
ENSG00000009724	1	11086580	11107290	MASP2
ENSG00000271895	1	11089716	11090585	RP4-635E18.8
ENSG00000116649	1	11114641	11120081	SRM
ENSG00000171824	1	11126675	11159938	EXOSC10
ENSG00000226849	1	11128528	11133154	RP4-635E18.7
ENSG00000230337	1	11159732	11162157	RP4-635E18.6
ENSG00000198793	1	11166592	11322564	MTOR
ENSG00000225602	1	11203955	11209594	MTOR-AS1
ENSG00000253086	1	11212407	11212509	RNU6-537P
ENSG00000271794	1	11229564	11229670	snoU13
ENSG00000171819	1	11249398	11256038	ANGPTL7
ENSG00000207451	1	11286311	11286417	RNU6-291P
ENSG00000238173	1	11293020	11293169	RPL39P6
ENSG00000120942	1	11333263	11356106	UBIAD1
ENSG00000238199	1	11338673	11339408	UBE2V2P3
ENSG00000224338	1	11485314	11485878	RP11-149P14.1
ENSG00000204624	1	11539223	11597641	PTCHD2
ENSG00000235643	1	11669588	11673412	RP1-69M21.2
ENSG00000116661	1	11708424	11715842	FBXO2
ENSG00000132879	1	11714432	11723384	FBXO44
ENSG00000116663	1	11724181	11734411	FBXO6
ENSG00000116670	1	11734537	11751707	MAD2L2
ENSG00000162490	1	11751786	11785914	DRAXIN
ENSG00000177674	1	11796141	11814859	AGTRAP
ENSG00000215910	1	11821844	11849642	C1orf167
ENSG00000177553	1	11837134	11839676	RP11-56N19.5
ENSG00000177000	1	11845780	11866977	MTHFR
ENSG00000011021	1	11866207	11903201	CLCN6
ENSG00000242349	1	11901074	11908136	NPPA-AS1
ENSG00000175206	1	11905766	11908402	NPPA
ENSG00000120937	1	11917521	11918988	NPPB
ENSG00000224904	1	11937827	11940463	RP5-934G17.6
ENSG00000199347	1	11968209	11968328	RNU5E-1
ENSG00000201801	1	11969865	11969984	RNU5E-4P
ENSG00000116685	1	11979648	11986485	KIAA2013
ENSG00000083444	1	11994262	12035595	PLOD1
ENSG00000116688	1	12040238	12073571	MFN2
ENSG00000270914	1	12077273	12077365	RP5-1077B9.5
ENSG00000116691	1	12079523	12092102	MIIP
ENSG00000202461	1	12084069	12084181	Y_RNA
ENSG00000243539	1	12096799	12097071	RN7SL649P
ENSG00000120949	1	12123434	12204264	TNFRSF8
ENSG00000201135	1	12137938	12138041	RNU6-777P
ENSG00000227875	1	12140350	12140604	RP11-426M1.2
ENSG00000028137	1	12227060	12269285	TNFRSF1B
ENSG00000263676	1	12251770	12251830	MIR4632
ENSG00000225196	1	12280851	12281166	RP5-1118D24.2
ENSG00000252969	1	12281205	12281328	SNORA70
ENSG00000048707	1	12290124	12572099	VPS13D
ENSG00000239149	1	12567300	12567451	SNORA59A
ENSG00000229484	1	12587766	12588462	RP5-888M10.2
ENSG00000162496	1	12627939	12677737	DHRS3
ENSG00000221340	1	12630000	12630100	RNU6ATAC18P
ENSG00000272482	1	12678906	12679250	RP11-474O21.5
ENSG00000204518	1	12704566	12727097	AADACL4
ENSG00000226166	1	12752925	12753036	RP11-474O21.2
ENSG00000188984	1	12776118	12788726	AADACL3
ENSG00000238771	1	12799693	12799796	snoU13
ENSG00000157330	1	12806163	12823847	C1orf158
ENSG00000116726	1	12834984	12838049	PRAMEF12
ENSG00000116721	1	12851546	12856777	PRAMEF1
ENSG00000228338	1	12882549	12883022	RP5-845O24.8
ENSG00000204513	1	12884468	12891264	PRAMEF11
ENSG00000231103	1	12897978	12901210	RP5-845O24.3
ENSG00000179172	1	12907261	12908578	HNRNPCL1
ENSG00000120952	1	12916941	12921764	PRAMEF2
ENSG00000243073	1	12939045	12946025	PRAMEF4
ENSG00000187545	1	12952727	12958101	PRAMEF10
ENSG00000204510	1	12976450	12980569	PRAMEF7
ENSG00000207434	1	12982374	12982480	RNU6-1072P
ENSG00000234064	1	12985990	12988081	RP11-450I1.2
ENSG00000232423	1	12998181	13117751	PRAMEF6
ENSG00000250894	1	13012966	13015755	RP11-450I1.4
ENSG00000204508	1	13035543	13038381	PRAMEF22
ENSG00000239810	1	13052394	13052998	WI2-3308P17.2
ENSG00000270601	1	13108842	13112679	PRAMEF23
ENSG00000250113	1	13123246	13126086	RP13-221M14.6
ENSG00000204505	1	13140456	13145000	PRAMEF25
ENSG00000233336	1	13146777	13147256	RP13-221M14.2
ENSG00000229978	1	13162645	13165443	RP13-221M14.3
ENSG00000236179	1	13171871	13173157	RP13-221M14.4
ENSG00000179412	1	13182960	13184326	HNRNPCP5
ENSG00000224199	1	13196270	13199067	WI2-2994D6.1
ENSG00000229571	1	13216356	13219581	PRAMEF26
ENSG00000204503	1	13328196	13331692	PRAMEF3
ENSG00000233394	1	13351482	13354323	RP11-248D7.2
ENSG00000204502	1	13359819	13369057	PRAMEF5
ENSG00000231219	1	13379149	13381237	RP11-219C24.8
ENSG00000207511	1	13384735	13384841	RNU6-771P
ENSG00000182330	1	13386646	13390765	PRAMEF8
ENSG00000237700	1	13411551	13414482	RP11-219C24.6
ENSG00000204501	1	13421176	13428191	PRAMEF9
ENSG00000228229	1	13429634	13430113	RP11-219C24.10
ENSG00000204495	1	13447414	13452656	PRAMEF13
ENSG00000204491	1	13474689	13477522	PRAMEF18
ENSG00000204488	1	13495254	13498260	PRAMEF16
ENSG00000204486	1	13516066	13526943	PRAMEF21
ENSG00000204485	1	13607431	13611550	XX-FW84067D5.1
ENSG00000224581	1	13632348	13635279	XX-FW84067D5.2
ENSG00000157358	1	13641973	13648988	PRAMEF15
ENSG00000204481	1	13668269	13673511	PRAMEF14
ENSG00000204480	1	13694889	13698405	PRAMEF19
ENSG00000204479	1	13716092	13719089	PRAMEF17
ENSG00000204478	1	13736907	13747803	PRAMEF20
ENSG00000162494	1	13801445	13840543	LRRC38
ENSG00000259961	1	13839715	13842765	RP4-597A16.2
ENSG00000215909	1	13881496	13882189	RP4-597A16.3
ENSG00000162493	1	13909960	13944452	PDPN
ENSG00000222952	1	13949679	13949779	RNA5SP41
ENSG00000266358	1	13950397	13950497	AL359771.1
ENSG00000237445	1	13983806	13986405	CTA-520D8.2
ENSG00000253085	1	14022565	14022694	SCARNA11
ENSG00000116731	1	14026693	14151574	PRDM2
ENSG00000252151	1	14450728	14450830	RNU6-1265P
ENSG00000231606	1	14548386	14549613	RP11-344F13.1
ENSG00000234593	1	14675450	14677518	RP4-704D23.1
ENSG00000189337	1	14925200	15444539	KAZN
ENSG00000235829	1	15018625	15019109	TBCAP2
ENSG00000175147	1	15442448	15478960	TMEM51-AS1
ENSG00000171729	1	15479028	15546976	TMEM51
ENSG00000204464	1	15490840	15497813	C1orf195
ENSG00000215720	1	15518324	15519341	RP1-21O18.3
ENSG00000142621	1	15573768	15726779	FHAD1
ENSG00000233485	1	15653176	15670372	RP3-467K16.2
ENSG00000236045	1	15660662	15661960	RP3-467K16.7
ENSG00000228140	1	15729475	15735929	RP3-467K16.4
ENSG00000142634	1	15736391	15756839	EFHD2
ENSG00000162438	1	15764935	15775737	CTRC
ENSG00000142615	1	15783223	15798586	CELA2A
ENSG00000215704	1	15792404	15817895	CELA2B
ENSG00000132906	1	15817327	15853029	CASP9
ENSG00000116138	1	15853308	15918874	DNAJC16
ENSG00000251866	1	15868660	15868799	SCARNA21
ENSG00000272510	1	15892106	15892451	RP4-680D5.8
ENSG00000116771	1	15898848	15911605	AGMAT
ENSG00000237301	1	15912631	15930121	RP4-680D5.2
ENSG00000235084	1	15931077	15931538	CHCHD2P6
ENSG00000252417	1	15934573	15934640	RNU7-179P
ENSG00000236500	1	15941138	15941362	RP4-680D5.4
ENSG00000197312	1	15943995	15995539	DDI2
ENSG00000215695	1	15986364	15988217	RSC1A1
ENSG00000271742	1	16009368	16009623	RP4-680D5.9
ENSG00000116786	1	16010827	16061264	PLEKHM2
ENSG00000264048	1	16010967	16011053	AL121992.1
ENSG00000237938	1	16049214	16063391	RP11-288I21.1
ENSG00000162461	1	16062900	16067891	SLC25A34
ENSG00000224459	1	16066546	16076391	RP11-169K16.4
ENSG00000162460	1	16068917	16074477	TMEM82
ENSG00000162458	1	16083102	16113089	FBLIM1
ENSG00000224321	1	16119291	16119780	RP11-169K16.6
ENSG00000233954	1	16133679	16134194	RP11-169K16.7
ENSG00000178715	1	16154724	16155167	RP11-169K16.8
ENSG00000179743	1	16160560	16174642	RP11-169K16.9
ENSG00000065526	1	16174359	16266955	SPEN
ENSG00000238818	1	16237392	16237492	snoU13
ENSG00000270620	1	16244193	16244403	RP1-134O19.3
ENSG00000116809	1	16268364	16302627	ZBTB17
ENSG00000234607	1	16296127	16296689	RP11-5P18.1
ENSG00000231353	1	16314677	16314936	RP11-5P18.3
ENSG00000224966	1	16316366	16321246	TBC1D3P6
ENSG00000183888	1	16330731	16335302	C1orf64
ENSG00000233078	1	16332655	16333166	RP11-5P18.5
ENSG00000173641	1	16340523	16346089	HSPB7
